date,season,month,weekday,is_holiday,is_workday,weather,temp_c,feels_like_c,humidity_pct,wind_kmh,rentals
2011-03-30,spring,3,wednesday,no,yes,misty,6.1,3.6,65,11.6,1536
2011-03-31,spring,3,thursday,no,yes,light_rain,4.6,1.0,92,14.6,1685
2011-04-01,spring,4,friday,no,yes,misty,6.1,2.7,69,17.3,2227
2011-04-02,spring,4,saturday,no,no,misty,6.8,4.8,65,13.2,2252
2011-04-03,spring,4,sunday,no,no,clear,9.8,9.0,48,12.2,3249
2011-04-04,spring,4,monday,no,yes,clear,18.9,19.8,43,25.8,3115
2011-04-05,spring,4,tuesday,no,yes,misty,11.5,10.3,64,26.0,1795
2011-04-06,spring,4,wednesday,no,yes,clear,10.4,9.6,47,17.6,2808
2011-04-07,spring,4,thursday,no,yes,clear,12.6,12.6,60,10.9,3141
2011-04-08,spring,4,friday,no,yes,misty,7.8,5.4,84,15.2,1471
2011-04-09,spring,4,saturday,no,no,misty,8.1,6.5,88,8.9,2455
2011-04-10,spring,4,sunday,no,no,misty,12.1,12.2,86,9.8,2895
2011-04-11,spring,4,monday,no,yes,misty,20.0,21.3,72,21.7,3348
2011-04-12,spring,4,tuesday,no,yes,misty,15.6,16.5,74,18.4,2034
2011-04-13,spring,4,wednesday,no,yes,misty,11.4,11.5,82,16.8,2162
2011-04-14,spring,4,thursday,no,yes,clear,14.0,14.5,54,7.4,3267
2011-04-15,spring,4,friday,yes,no,clear,13.0,13.2,67,15.2,3126
2011-04-16,spring,4,saturday,no,no,light_rain,12.2,12.1,89,22.8,795
2011-04-17,spring,4,sunday,no,no,clear,13.5,13.4,48,20.3,3744
2011-04-18,spring,4,monday,no,yes,clear,16.1,17.2,54,11.0,3429
2011-04-19,spring,4,tuesday,no,yes,misty,15.8,16.3,67,10.6,3204
2011-04-20,spring,4,wednesday,no,yes,clear,20.0,21.2,61,16.2,3944
2011-04-21,spring,4,thursday,no,yes,clear,13.6,14.0,41,21.8,4189
2011-04-22,spring,4,friday,no,yes,misty,7.8,5.2,73,14.7,1683
2011-04-23,spring,4,saturday,no,no,misty,13.6,13.7,89,15.5,4036
2011-04-24,spring,4,sunday,no,no,misty,19.3,20.4,81,12.9,4191
2011-04-25,spring,4,monday,no,yes,clear,20.5,21.9,78,12.4,4073
2011-04-26,spring,4,tuesday,no,yes,clear,21.7,23.2,73,21.9,4400
2011-04-27,spring,4,wednesday,no,yes,misty,21.1,22.0,84,20.9,3872
2011-04-28,spring,4,thursday,no,yes,misty,21.0,22.2,70,21.5,4058
2011-04-29,spring,4,friday,no,yes,clear,16.0,16.8,46,16.1,4595
2011-04-30,spring,4,saturday,no,no,clear,14.2,14.6,50,15.8,5312
2011-05-01,spring,5,sunday,no,no,misty,13.2,13.6,76,7.1,3351
2011-05-02,spring,5,monday,no,yes,misty,17.8,19.2,73,12.3,4401
2011-05-03,spring,5,tuesday,no,yes,misty,21.0,22.4,70,23.0,4451
2011-05-04,spring,5,wednesday,no,yes,misty,11.5,10.7,74,22.0,2633
2011-05-05,spring,5,thursday,no,yes,clear,13.6,13.2,44,19.8,4433
2011-05-06,spring,5,friday,no,yes,clear,14.5,15.3,59,15.3,4608
2011-05-07,spring,5,saturday,no,no,clear,16.4,17.8,54,10.8,4714
2011-05-08,spring,5,sunday,no,no,clear,16.8,18.2,63,5.0,4333
2011-05-09,spring,5,monday,no,yes,clear,17.0,18.7,59,11.8,4362
2011-05-10,spring,5,tuesday,no,yes,clear,17.0,18.5,49,7.7,4803
2011-05-11,spring,5,wednesday,no,yes,clear,17.5,18.9,63,8.1,4182
2011-05-12,spring,5,thursday,no,yes,clear,17.1,18.5,75,12.7,4864
2011-05-13,spring,5,friday,no,yes,misty,16.1,16.6,86,12.0,4105
2011-05-14,spring,5,saturday,no,no,misty,16.5,17.0,92,9.0,3409
2011-05-15,spring,5,sunday,no,no,misty,18.4,19.4,87,10.2,4553
2011-05-16,spring,5,monday,no,yes,clear,19.1,20.3,79,8.5,3958
2011-05-17,spring,5,tuesday,no,yes,misty,18.4,19.5,84,18.6,4123
2011-05-18,spring,5,wednesday,no,yes,misty,17.8,18.8,87,13.5,3855
2011-05-19,spring,5,thursday,no,yes,misty,16.9,17.7,83,7.3,4575
2011-05-20,spring,5,friday,no,yes,clear,17.2,18.9,72,8.4,4917
2011-05-21,spring,5,saturday,no,no,clear,20.3,21.8,63,8.1,5805
2011-05-22,spring,5,sunday,no,no,clear,20.4,21.9,75,9.9,4660
2011-05-23,spring,5,monday,no,yes,misty,21.7,23.0,81,15.7,4274
2011-05-24,spring,5,tuesday,no,yes,misty,23.0,23.9,74,13.9,4492
2011-05-25,spring,5,wednesday,no,yes,clear,23.1,24.6,70,10.3,4978
2011-05-26,spring,5,thursday,no,yes,clear,25.3,27.2,68,13.4,4677
2011-05-27,spring,5,friday,no,yes,clear,24.0,26.0,65,16.1,4679
2011-05-28,spring,5,saturday,no,no,clear,22.8,24.4,73,15.4,4758
2011-05-29,spring,5,sunday,no,no,clear,23.4,24.6,82,14.3,4788
2011-05-30,spring,5,monday,yes,no,clear,26.5,28.3,68,8.8,4098
2011-05-31,spring,5,tuesday,no,yes,clear,28.4,31.9,64,7.5,3982
2011-06-01,spring,6,wednesday,no,yes,misty,27.9,31.6,68,13.9,3974
2011-06-02,spring,6,thursday,no,yes,clear,25.6,26.5,30,19.6,4968
2011-06-03,spring,6,friday,no,yes,clear,21.1,22.8,35,17.0,5312
2011-06-04,spring,6,saturday,no,no,clear,21.8,23.2,46,8.3,5342
2011-06-05,spring,6,sunday,no,no,misty,22.5,24.7,65,9.3,4906
2011-06-06,spring,6,monday,no,yes,clear,23.9,25.0,60,8.2,4548
2011-06-07,spring,6,tuesday,no,yes,clear,25.3,27.3,60,12.6,4833
2011-06-08,spring,6,wednesday,no,yes,clear,28.5,32.0,62,9.2,4401
2011-06-09,spring,6,thursday,no,yes,misty,30.0,34.0,57,10.0,3915
2011-06-10,spring,6,friday,no,yes,clear,27.5,30.4,60,9.4,4586
2011-06-11,spring,6,saturday,no,no,clear,26.1,28.8,65,10.4,4966
2011-06-12,spring,6,sunday,no,no,clear,24.5,26.5,75,11.0,4460
2011-06-13,spring,6,monday,no,yes,clear,21.8,23.7,49,20.5,5020
2011-06-14,spring,6,tuesday,no,yes,clear,20.4,23.0,51,18.0,4891
2011-06-15,spring,6,wednesday,no,yes,clear,21.5,22.8,47,11.3,5180
2011-06-16,spring,6,thursday,no,yes,misty,21.5,23.3,69,13.8,3767
2011-06-17,spring,6,friday,no,yes,clear,22.5,23.6,74,9.6,4844
2011-06-18,spring,6,saturday,no,no,clear,24.7,26.5,67,8.0,5119
2011-06-19,spring,6,sunday,no,no,misty,24.9,26.6,67,6.8,4744
2011-06-20,spring,6,monday,no,yes,misty,21.8,23.3,75,10.4,4010
2011-06-21,summer,6,tuesday,no,yes,misty,24.0,26.1,77,11.5,4835
2011-06-22,summer,6,wednesday,no,yes,clear,26.5,29.8,71,11.5,4507
2011-06-23,summer,6,thursday,no,yes,misty,26.2,29.8,70,16.0,4790
2011-06-24,summer,6,friday,no,yes,clear,26.0,27.3,57,14.9,4991
2011-06-25,summer,6,saturday,no,no,clear,24.7,26.5,48,14.0,5202
2011-06-26,summer,6,sunday,no,no,clear,24.0,26.1,51,6.3,5305
2011-06-27,summer,6,monday,no,yes,misty,24.1,26.0,66,7.2,4708
2011-06-28,summer,6,tuesday,no,yes,clear,27.0,29.7,63,9.7,4648
2011-06-29,summer,6,wednesday,no,yes,clear,26.2,27.2,50,17.5,5225
2011-06-30,summer,6,thursday,no,yes,clear,24.7,26.0,43,12.4,5515
2011-07-01,summer,7,friday,no,yes,clear,26.0,27.0,40,6.9,5362
2011-07-02,summer,7,saturday,no,no,clear,26.7,28.0,44,7.7,5119
2011-07-03,summer,7,sunday,no,no,misty,25.7,28.1,68,15.3,4649
2011-07-04,summer,7,monday,yes,no,misty,26.2,27.9,64,5.5,6043
2011-07-05,summer,7,tuesday,no,yes,clear,27.1,30.0,59,8.5,4665
2011-07-06,summer,7,wednesday,no,yes,clear,25.8,29.3,74,10.0,4629
2011-07-07,summer,7,thursday,no,yes,clear,27.2,29.3,65,10.7,4592
2011-07-08,summer,7,friday,no,yes,misty,25.3,28.3,76,15.1,4040
2011-07-09,summer,7,saturday,no,no,clear,26.5,27.8,61,11.3,5336
2011-07-10,summer,7,sunday,no,no,clear,27.1,29.5,58,12.3,4881
2011-07-11,summer,7,monday,no,yes,clear,27.8,32.2,64,18.9,4086
2011-07-12,summer,7,tuesday,no,yes,clear,29.3,32.8,56,13.4,4258
2011-07-13,summer,7,wednesday,no,yes,clear,27.1,29.5,63,9.8,4342
2011-07-14,summer,7,thursday,no,yes,clear,24.0,25.9,48,16.1,5084
2011-07-15,summer,7,friday,no,yes,clear,23.2,25.2,59,12.2,5538
2011-07-16,summer,7,saturday,no,no,clear,24.3,26.1,58,14.0,5923
2011-07-17,summer,7,sunday,no,no,clear,25.8,28.2,60,16.4,5302
2011-07-18,summer,7,monday,no,yes,clear,27.1,30.5,65,14.5,4458
2011-07-19,summer,7,tuesday,no,yes,clear,28.5,33.3,65,8.8,4541
2011-07-20,summer,7,wednesday,no,yes,clear,28.1,33.3,71,7.6,4332
2011-07-21,summer,7,thursday,no,yes,misty,30.3,38.5,69,14.9,3784
2011-07-22,summer,7,friday,no,yes,clear,31.9,39.5,58,8.9,3387
2011-07-23,summer,7,saturday,no,no,clear,31.9,37.1,50,8.8,3285
2011-07-24,summer,7,sunday,no,no,clear,31.0,36.5,55,11.3,3606
2011-07-25,summer,7,monday,no,yes,clear,26.9,31.6,76,6.1,3840
2011-07-26,summer,7,tuesday,no,yes,clear,28.3,30.0,54,13.4,4590
2011-07-27,summer,7,wednesday,no,yes,clear,28.4,29.6,40,12.3,4656
2011-07-28,summer,7,thursday,no,yes,clear,28.6,32.8,58,12.0,4390
2011-07-29,summer,7,friday,no,yes,clear,31.4,35.9,54,11.7,3846
2011-07-30,summer,7,saturday,no,no,clear,29.8,32.1,47,11.3,4475
2011-07-31,summer,7,sunday,no,no,clear,29.9,32.2,48,11.0,4302
2011-08-01,summer,8,monday,no,yes,clear,28.3,30.4,55,10.5,4266
2011-08-02,summer,8,tuesday,no,yes,clear,28.8,30.7,49,13.8,4845
2011-08-03,summer,8,wednesday,no,yes,misty,26.4,28.9,66,9.1,3574
2011-08-04,summer,8,thursday,no,yes,misty,25.4,27.9,76,13.2,4576
2011-08-05,summer,8,friday,no,yes,clear,25.4,27.3,63,12.4,4866
2011-08-06,summer,8,saturday,no,no,misty,25.7,28.6,76,15.3,4294
2011-08-07,summer,8,sunday,no,no,clear,26.9,31.2,75,13.5,3785
2011-08-08,summer,8,monday,no,yes,clear,28.0,30.4,59,12.9,4326
2011-08-09,summer,8,tuesday,no,yes,clear,28.4,31.8,57,10.1,4602
2011-08-10,summer,8,wednesday,no,yes,clear,28.0,29.2,42,13.4,4780
2011-08-11,summer,8,thursday,no,yes,clear,25.7,27.0,42,11.0,4792
2011-08-12,summer,8,friday,no,yes,clear,25.3,27.2,42,8.4,4905
2011-08-13,summer,8,saturday,no,no,misty,24.2,26.6,73,14.2,4150
2011-08-14,summer,8,sunday,no,no,misty,23.8,25.2,82,14.9,3820
2011-08-15,summer,8,monday,no,yes,clear,23.3,24.7,71,14.0,4338
2011-08-16,summer,8,tuesday,no,yes,clear,24.9,26.6,58,15.8,4725
2011-08-17,summer,8,wednesday,no,yes,clear,26.0,28.0,58,9.6,4694
2011-08-18,summer,8,thursday,no,yes,clear,25.4,27.7,65,15.6,3805
2011-08-19,summer,8,friday,no,yes,misty,24.2,25.8,72,9.3,4153
2011-08-20,summer,8,saturday,no,no,clear,24.8,26.8,67,7.0,5191
2011-08-21,summer,8,sunday,no,no,clear,25.4,28.6,77,16.7,3873
2011-08-22,summer,8,monday,no,yes,clear,24.5,26.1,47,18.5,4758
2011-08-23,summer,8,tuesday,no,yes,clear,22.1,24.0,46,9.8,5895
2011-08-24,summer,8,wednesday,no,yes,clear,23.6,25.6,60,17.0,5130
2011-08-25,summer,8,thursday,no,yes,misty,24.2,26.6,77,14.1,3542
2011-08-26,summer,8,friday,no,yes,clear,24.9,27.5,76,5.6,4661
2011-08-27,summer,8,saturday,no,no,misty,24.0,25.9,85,25.2,1115
2011-08-28,summer,8,sunday,no,no,clear,25.2,26.8,56,20.4,4334
2011-08-29,summer,8,monday,no,yes,clear,21.9,24.1,55,10.7,4634
2011-08-30,summer,8,tuesday,no,yes,clear,22.0,23.3,55,8.4,5204
2011-08-31,summer,8,wednesday,no,yes,clear,22.9,24.3,60,5.6,5058
2011-09-01,summer,9,thursday,no,yes,clear,22.8,24.6,64,9.5,5115
2011-09-02,summer,9,friday,no,yes,misty,22.2,23.9,73,9.4,4727
2011-09-03,summer,9,saturday,no,no,clear,23.5,25.8,72,12.4,4484
2011-09-04,summer,9,sunday,no,no,clear,25.3,27.9,74,13.8,4940
2011-09-05,summer,9,monday,yes,no,misty,23.6,25.3,79,14.3,3351
2011-09-06,summer,9,tuesday,no,yes,light_rain,17.4,18.0,89,23.0,2710
2011-09-07,summer,9,wednesday,no,yes,light_rain,20.2,19.9,92,6.5,1996
2011-09-08,summer,9,thursday,no,yes,light_rain,21.8,20.7,94,12.9,1842
2011-09-09,summer,9,friday,no,yes,misty,22.6,22.2,90,8.3,3544
2011-09-10,summer,9,saturday,no,no,clear,23.0,24.1,75,10.3,5345
2011-09-11,summer,9,sunday,no,no,clear,22.7,24.2,71,7.7,5046
2011-09-12,summer,9,monday,no,yes,clear,22.3,23.7,69,6.0,4713
2011-09-13,summer,9,tuesday,no,yes,clear,22.6,23.8,71,9.5,4763
2011-09-14,summer,9,wednesday,no,yes,clear,23.6,25.4,70,11.2,4785
2011-09-15,summer,9,thursday,no,yes,misty,19.1,20.5,71,18.2,3659
2011-09-16,summer,9,friday,no,yes,misty,14.1,14.5,59,11.0,4760
2011-09-17,summer,9,saturday,no,no,misty,15.1,15.6,72,12.7,4511
2011-09-18,summer,9,sunday,no,no,clear,15.9,16.4,70,12.0,4274
2011-09-19,summer,9,monday,no,yes,misty,17.8,19.0,69,10.2,4539
2011-09-20,summer,9,tuesday,no,yes,misty,18.4,19.1,88,9.0,3641
2011-09-21,summer,9,wednesday,no,yes,misty,20.0,20.3,90,6.5,4352
2011-09-22,summer,9,thursday,no,yes,misty,21.5,20.6,90,8.6,4795
2011-09-23,fall,9,friday,no,yes,misty,20.6,18.5,97,5.3,2395
2011-09-24,fall,9,saturday,no,no,misty,20.5,21.3,86,5.3,5423
2011-09-25,fall,9,sunday,no,no,misty,21.8,21.8,84,3.4,5010
2011-09-26,fall,9,monday,no,yes,misty,22.5,22.9,85,7.4,4630
2011-09-27,fall,9,tuesday,no,yes,misty,21.9,21.9,89,7.9,4120
2011-09-28,fall,9,wednesday,no,yes,misty,21.8,22.0,85,10.0,3907
2011-09-29,fall,9,thursday,no,yes,clear,21.0,21.9,70,11.6,4839
2011-09-30,fall,9,friday,no,yes,clear,18.5,20.0,65,13.8,5202
2011-10-01,fall,10,saturday,no,no,misty,11.3,11.2,75,19.6,2429
2011-10-02,fall,10,sunday,no,no,misty,8.8,6.8,79,14.9,2918
2011-10-03,fall,10,monday,no,yes,misty,10.1,9.9,76,5.6,3570
2011-10-04,fall,10,tuesday,no,yes,clear,14.8,15.2,71,13.8,4456
2011-10-05,fall,10,wednesday,no,yes,clear,17.3,18.8,65,11.9,4826
2011-10-06,fall,10,thursday,no,yes,clear,15.2,15.7,62,9.0,4765
2011-10-07,fall,10,friday,no,yes,clear,16.0,17.3,68,1.5,4985
2011-10-08,fall,10,saturday,no,no,clear,16.5,17.9,70,3.0,5409
2011-10-09,fall,10,sunday,no,no,clear,17.4,18.6,73,4.3,5511
2011-10-10,fall,10,monday,yes,no,clear,18.8,19.8,73,2.8,5117
2011-10-11,fall,10,tuesday,no,yes,misty,18.6,20.0,81,9.6,4563
2011-10-12,fall,10,wednesday,no,yes,light_rain,17.5,18.2,91,16.6,2416
2011-10-13,fall,10,thursday,no,yes,misty,19.7,20.4,90,9.5,2913
2011-10-14,fall,10,friday,no,yes,misty,17.9,19.0,72,15.0,3644
2011-10-15,fall,10,saturday,no,no,clear,15.8,16.9,48,17.3,5217
2011-10-16,fall,10,sunday,no,no,clear,16.0,17.2,49,18.9,5041
2011-10-17,fall,10,monday,no,yes,clear,17.1,17.7,58,11.8,4570
2011-10-18,fall,10,tuesday,no,yes,misty,17.0,18.5,70,7.4,4748
2011-10-19,fall,10,wednesday,no,yes,light_rain,17.5,17.9,90,16.3,2424
2011-10-20,fall,10,thursday,no,yes,clear,14.4,14.8,64,28.3,4195
2011-10-21,fall,10,friday,no,yes,clear,12.1,12.0,57,14.8,4304
2011-10-22,fall,10,saturday,no,no,clear,11.9,12.1,63,6.2,4308
2011-10-23,fall,10,sunday,no,no,clear,11.8,11.9,74,6.7,4381
2011-10-24,fall,10,monday,no,yes,clear,13.8,14.2,77,8.0,4187
2011-10-25,fall,10,tuesday,no,yes,clear,14.2,14.6,62,11.2,4687
2011-10-26,fall,10,wednesday,no,yes,misty,14.8,15.2,72,10.0,3894
2011-10-27,fall,10,thursday,no,yes,misty,14.1,14.2,81,13.3,2659
2011-10-28,fall,10,friday,no,yes,misty,7.5,5.0,59,15.4,3747
2011-10-29,fall,10,saturday,no,no,light_rain,3.9,-1.0,88,23.5,627
2011-10-30,fall,10,sunday,no,no,clear,7.0,5.2,62,11.8,3331
2011-10-31,fall,10,monday,no,yes,clear,8.0,7.5,70,7.1,3669
2011-11-01,fall,11,tuesday,no,yes,clear,10.8,10.2,68,9.1,4068
2011-11-02,fall,11,wednesday,no,yes,clear,9.7,9.7,72,5.5,4186
2011-11-03,fall,11,thursday,no,yes,clear,11.2,10.8,70,9.2,3974
2011-11-04,fall,11,friday,no,yes,misty,11.0,10.6,62,18.2,4046
2011-11-05,fall,11,saturday,no,no,clear,7.4,5.4,52,12.7,3926
2011-11-06,fall,11,sunday,no,no,clear,8.4,7.9,73,6.2,3649
2011-11-07,fall,11,monday,no,yes,clear,10.6,10.5,76,3.8,4035
2011-11-08,fall,11,tuesday,no,yes,clear,11.2,11.2,72,4.6,4205
2011-11-09,fall,11,wednesday,no,yes,clear,10.8,11.0,76,4.2,4109
2011-11-10,fall,11,thursday,no,yes,misty,9.9,8.7,81,12.7,2933
2011-11-11,fall,11,friday,yes,no,clear,7.2,4.2,45,21.1,3368
2011-11-12,fall,11,saturday,no,no,clear,8.8,7.6,55,14.2,4067
2011-11-13,fall,11,sunday,no,no,clear,12.7,12.4,46,18.9,3717
2011-11-14,fall,11,monday,no,yes,clear,16.9,18.6,59,20.5,4486
2011-11-15,fall,11,tuesday,no,yes,misty,16.9,17.5,69,13.4,4195
2011-11-16,fall,11,wednesday,no,yes,light_rain,13.5,13.8,93,9.2,1817
2011-11-17,fall,11,thursday,no,yes,misty,8.1,5.3,58,20.5,3053
2011-11-18,fall,11,friday,no,yes,clear,4.9,2.0,41,11.3,3392
2011-11-19,fall,11,saturday,no,no,clear,7.5,5.4,50,15.0,3663
2011-11-20,fall,11,sunday,no,no,misty,13.8,14.2,68,12.5,3520
2011-11-21,fall,11,monday,no,yes,light_rain,13.0,13.4,91,9.2,2765
2011-11-22,fall,11,tuesday,no,yes,light_rain,11.6,11.8,96,8.0,1607
2011-11-23,fall,11,wednesday,no,yes,misty,12.7,12.4,76,22.5,2566
2011-11-24,fall,11,thursday,yes,no,clear,9.5,8.6,55,11.2,1495
2011-11-25,fall,11,friday,no,yes,clear,9.6,9.1,64,6.6,2792
2011-11-26,fall,11,saturday,no,no,clear,9.7,9.4,68,4.6,3068
2011-11-27,fall,11,sunday,no,no,clear,13.6,14.1,70,14.0,3071
2011-11-28,fall,11,monday,no,yes,clear,15.7,16.3,74,9.5,3867
2011-11-29,fall,11,tuesday,no,yes,misty,13.5,13.8,83,17.3,2914
2011-11-30,fall,11,wednesday,no,yes,clear,7.3,4.5,61,18.2,3613
2011-12-01,fall,12,thursday,no,yes,clear,6.7,4.2,52,14.8,3727
2011-12-02,fall,12,friday,no,yes,clear,6.8,5.9,63,6.8,3940
2011-12-03,fall,12,saturday,no,no,clear,6.1,4.5,61,6.4,3614
2011-12-04,fall,12,sunday,no,no,clear,7.5,7.0,78,5.6,3485
2011-12-05,fall,12,monday,no,yes,misty,10.1,10.0,83,4.2,3811
