name,element,home,attack,defense,magic,speed,height_cm,weight_kg,is_boss
monster_050,grass,forest,35,92,58,23,283,209.3,no
monster_051,ghost,volcano,76,125,114,82,62,40.3,yes
monster_052,grass,volcano,126,103,75,121,215,35.3,no
monster_053,grass,sky,71,71,39,133,228,46.1,no
monster_054,ghost,cave,108,72,75,115,124,87.0,no
monster_055,water,sky,120,64,40,54,92,60.2,yes
monster_056,grass,ocean,110,26,75,65,187,72.0,yes
monster_057,rock,volcano,89,99,46,139,93,74.0,no
monster_058,rock,volcano,68,79,66,114,194,59.7,no
monster_059,ghost,cave,76,77,49,129,51,24.0,no
monster_060,ghost,volcano,49,122,78,49,135,31.9,no
monster_061,grass,volcano,74,100,108,63,136,86.3,yes
monster_062,grass,cave,61,125,99,118,238,51.2,no
monster_063,rock,ocean,47,29,58,59,21,6.0,no
monster_064,rock,sky,129,124,74,110,125,90.6,no
monster_065,ghost,cave,21,81,52,35,215,112.9,no
monster_066,ghost,volcano,30,64,50,27,166,107.3,no
monster_067,rock,forest,41,81,92,129,243,170.2,no
monster_068,fire,sky,126,24,111,56,280,169.4,yes
monster_069,grass,cave,96,122,34,42,251,74.9,no
monster_070,fire,volcano,117,89,43,50,116,78.2,yes
monster_071,fire,forest,42,24,23,21,54,12.8,no
monster_072,fire,cave,99,120,138,111,41,14.4,no
monster_073,rock,sky,60,69,100,126,210,102.1,no
monster_074,water,cave,73,33,30,22,53,12.5,no
monster_075,ghost,ocean,20,89,108,91,270,62.0,no
monster_076,rock,cave,87,27,49,63,191,122.1,yes
monster_077,ghost,forest,111,80,48,100,25,17.7,no
monster_078,fire,forest,93,103,73,104,256,109.6,no
monster_079,fire,volcano,36,28,92,107,73,32.3,no
monster_080,ghost,volcano,78,107,95,25,317,96.9,yes
monster_081,fire,ocean,49,85,14,25,96,52.0,no
monster_082,water,sky,126,55,106,133,182,106.5,no
monster_083,rock,ocean,116,44,62,31,155,131.8,yes
monster_084,grass,ocean,40,21,129,80,122,22.0,yes
monster_085,ghost,forest,76,41,85,79,67,55.7,yes
monster_086,fire,forest,123,51,131,65,33,29.5,yes
monster_087,fire,ocean,113,116,42,26,179,73.3,yes
monster_088,ghost,volcano,97,76,96,40,314,218.0,yes
monster_089,rock,volcano,90,41,55,80,119,91.5,no
monster_090,fire,ocean,24,101,121,33,106,67.7,no
monster_091,water,ocean,101,69,89,108,214,78.5,no
monster_092,fire,volcano,72,111,107,123,319,196.9,no
monster_093,ghost,ocean,30,102,86,98,177,143.0,no
monster_094,water,cave,46,122,109,119,310,71.4,no
monster_095,water,sky,79,97,30,93,224,114.2,no
monster_096,ghost,ocean,99,31,39,103,258,43.1,no
monster_097,fire,ocean,75,80,101,25,90,70.5,yes
monster_098,ghost,forest,87,66,33,85,183,134.3,no
monster_099,rock,sky,115,108,20,48,230,42.4,no
monster_100,fire,cave,95,36,82,42,125,88.7,yes
monster_101,water,forest,59,71,136,127,239,159.8,no
monster_102,ghost,sky,90,110,50,119,132,32.3,no
monster_103,grass,forest,85,88,36,34,235,127.8,no
monster_104,rock,forest,31,24,104,138,153,102.1,no
monster_105,fire,forest,26,110,42,83,35,14.1,no
monster_106,rock,sky,92,60,110,94,44,23.2,no
monster_107,water,volcano,62,94,36,26,303,267.2,no
monster_108,water,cave,85,91,34,126,209,131.0,no
monster_109,fire,forest,55,90,138,132,190,100.0,no
monster_110,rock,ocean,44,65,87,112,250,49.9,no
monster_111,water,cave,36,64,47,40,98,23.6,no
monster_112,grass,cave,61,31,68,83,126,99.3,no
monster_113,grass,ocean,109,81,88,69,147,103.9,yes
monster_114,water,sky,64,52,16,67,215,166.9,no
monster_115,water,ocean,61,63,138,85,172,100.4,yes
monster_116,fire,cave,83,38,72,105,98,57.0,no
monster_117,rock,volcano,127,101,133,106,172,94.2,no
monster_118,grass,ocean,63,121,112,49,129,90.5,yes
monster_119,ghost,cave,84,61,15,132,90,35.8,no
monster_120,water,volcano,68,66,114,72,73,38.1,yes
monster_121,grass,forest,86,71,77,108,95,47.7,no
monster_122,fire,volcano,69,27,124,124,179,115.7,no
monster_123,fire,forest,90,103,88,61,125,39.0,yes
monster_124,grass,ocean,80,116,46,122,143,24.1,no
monster_125,ghost,ocean,94,75,101,29,253,54.8,yes
monster_126,rock,volcano,125,26,47,55,226,64.3,yes
monster_127,fire,cave,36,57,53,104,148,117.4,no
monster_128,ghost,forest,81,37,86,110,190,130.6,no
monster_129,water,ocean,68,110,52,136,26,18.5,no
monster_130,water,cave,59,108,131,70,139,67.2,yes
monster_131,grass,sky,46,61,10,22,152,34.5,no
monster_132,ghost,forest,25,61,59,73,105,52.4,no
monster_133,rock,cave,64,112,14,112,76,60.6,no
monster_134,water,volcano,110,29,103,33,240,127.6,yes
monster_135,water,sky,30,106,81,41,18,11.2,no
monster_136,fire,forest,64,125,29,69,312,134.4,yes
monster_137,grass,forest,126,69,19,75,312,81.9,no
monster_138,ghost,ocean,124,102,106,72,205,127.1,yes
monster_139,rock,ocean,43,98,36,82,104,53.4,no
monster_140,water,forest,20,118,119,93,104,42.6,no
monster_141,grass,volcano,93,23,53,93,178,61.2,no
monster_142,fire,forest,21,97,81,69,219,147.2,yes
monster_143,water,volcano,53,62,19,138,124,48.2,yes
monster_144,grass,forest,74,114,76,78,149,86.7,no
monster_145,grass,ocean,116,114,14,102,31,10.7,no
monster_146,fire,volcano,30,51,39,99,285,203.8,no
monster_147,water,volcano,92,83,130,67,289,124.6,yes
monster_148,grass,volcano,78,74,137,96,94,47.8,yes
monster_149,water,cave,34,81,66,105,300,253.7,no
monster_150,grass,sky,113,111,128,77,273,188.0,yes
monster_151,rock,cave,112,93,36,76,71,49.9,no
monster_152,water,cave,73,103,86,91,61,24.7,no
monster_153,grass,ocean,123,94,102,69,142,110.8,yes
monster_154,water,ocean,86,47,125,110,225,98.8,no
monster_155,grass,ocean,119,84,11,63,128,114.1,no
monster_156,grass,forest,125,61,87,31,238,195.6,yes
monster_157,rock,volcano,82,66,41,79,66,42.5,no
monster_158,fire,cave,50,32,60,128,297,229.8,no
monster_159,ghost,ocean,36,40,134,53,216,120.5,yes
monster_160,rock,sky,81,57,94,57,91,63.7,yes
monster_161,rock,forest,41,52,126,49,253,61.6,yes
monster_162,fire,sky,102,90,34,131,140,124.8,no
monster_163,water,sky,122,52,92,37,246,184.5,yes
monster_164,rock,volcano,46,47,130,73,229,58.8,yes
monster_165,ghost,cave,80,67,22,72,220,73.0,no
monster_166,ghost,forest,25,82,123,87,51,29.6,no
monster_167,fire,volcano,39,129,51,55,20,14.4,no
monster_168,rock,ocean,61,76,64,111,228,59.7,no
monster_169,ghost,cave,117,58,13,120,85,74.0,yes
monster_170,rock,volcano,126,55,118,72,35,14.3,yes
monster_171,grass,cave,90,69,38,121,171,153.3,no
monster_172,rock,cave,84,121,138,34,299,213.6,no
monster_173,water,forest,82,60,13,61,229,117.7,no
monster_174,fire,sky,26,47,24,126,106,44.7,no
monster_175,ghost,cave,61,83,26,94,132,29.4,no
monster_176,fire,sky,128,105,98,40,227,49.0,yes
monster_177,rock,sky,65,124,92,128,152,94.6,no
monster_178,water,sky,43,50,36,125,185,135.1,no
monster_179,ghost,cave,46,117,23,63,271,225.1,no
monster_180,water,cave,98,114,44,42,32,13.6,no
monster_181,ghost,forest,24,61,30,86,22,18.8,no
monster_182,water,cave,126,56,103,90,286,106.6,no
monster_183,fire,ocean,116,49,127,73,96,82.1,yes
monster_184,water,volcano,82,54,65,105,265,222.4,yes
monster_185,grass,sky,71,117,53,98,103,27.4,no
monster_186,ghost,forest,103,54,78,114,273,217.2,no
monster_187,rock,forest,80,74,53,135,317,214.9,no
monster_188,grass,volcano,72,122,33,110,295,199.7,no
monster_189,fire,ocean,55,95,21,36,84,65.5,no
monster_190,water,cave,69,34,94,20,172,95.0,yes
monster_191,grass,forest,102,28,113,135,29,15.4,no
monster_192,grass,forest,26,44,77,116,96,40.8,no
monster_193,ghost,forest,22,115,97,99,142,113.4,no
monster_194,water,ocean,99,44,25,50,26,21.5,no
monster_195,water,cave,60,54,81,115,213,57.6,yes
monster_196,water,ocean,108,79,97,33,73,53.2,yes
monster_197,fire,cave,23,74,90,96,61,21.8,no
monster_198,fire,ocean,119,28,13,65,213,61.3,no
monster_199,water,volcano,33,41,23,124,271,80.7,no
monster_200,water,volcano,65,129,138,101,319,185.0,no
monster_201,water,forest,126,66,43,59,74,26.6,yes
monster_202,rock,forest,31,50,40,114,251,83.3,no
monster_203,water,sky,92,111,85,104,229,51.3,no
monster_204,ghost,ocean,100,71,105,50,263,103.5,yes
monster_205,grass,sky,67,111,133,51,64,46.8,yes
monster_206,fire,forest,28,37,106,66,161,26.8,no
monster_207,ghost,ocean,77,72,116,81,283,144.9,yes
monster_208,water,volcano,67,109,129,53,190,114.4,yes
monster_209,grass,ocean,116,104,93,101,76,14.2,no
monster_210,fire,sky,95,94,88,82,15,5.6,yes
monster_211,grass,cave,57,70,77,44,238,197.5,no
monster_212,rock,forest,26,110,36,104,35,31.4,no
monster_213,fire,cave,84,61,11,27,270,212.7,no
monster_214,grass,sky,50,92,25,131,215,59.6,no
monster_215,fire,forest,95,80,125,114,92,66.5,no
monster_216,rock,cave,115,53,49,30,79,38.6,yes
monster_217,ghost,volcano,59,42,18,117,43,12.0,no
monster_218,rock,ocean,119,78,28,59,118,60.3,no
monster_219,water,forest,77,54,26,99,193,162.5,no
monster_220,rock,ocean,78,76,58,48,108,87.3,no
monster_221,ghost,forest,104,97,100,58,167,74.1,yes
monster_222,grass,volcano,106,108,114,21,206,40.7,yes
monster_223,water,sky,120,104,115,98,161,132.9,no
monster_224,fire,volcano,129,76,134,90,91,81.0,no
monster_225,rock,ocean,36,26,112,30,253,135.0,no
monster_226,ghost,forest,65,39,44,53,233,74.3,no
monster_227,rock,ocean,122,100,68,99,156,87.0,no
monster_228,ghost,ocean,53,85,94,115,70,47.1,no
monster_229,fire,cave,20,109,33,89,166,84.9,no
monster_230,fire,cave,83,73,99,39,124,51.4,yes
monster_231,fire,forest,102,68,14,94,163,54.7,no
monster_232,ghost,volcano,101,46,39,46,53,19.8,no
monster_233,grass,sky,109,26,120,73,153,28.7,yes
monster_234,rock,forest,90,35,51,77,30,10.2,no
monster_235,fire,forest,35,95,137,47,138,119.3,yes
monster_236,fire,volcano,113,83,119,117,228,35.6,no
monster_237,water,cave,66,47,41,107,64,44.5,no
monster_238,ghost,cave,113,59,129,33,53,39.3,yes
monster_239,fire,sky,109,90,122,75,105,47.6,yes
monster_240,ghost,forest,126,62,137,33,291,173.6,yes
monster_241,water,cave,21,61,62,109,95,30.0,no
monster_242,rock,cave,115,49,127,66,302,196.6,yes
monster_243,grass,volcano,89,90,50,63,90,61.3,no
monster_244,water,sky,73,117,56,49,32,22.4,no
monster_245,water,forest,107,48,75,30,253,131.3,no
monster_246,water,ocean,124,52,56,36,51,44.8,yes
monster_247,water,ocean,76,72,11,85,49,39.2,no
monster_248,grass,forest,29,40,103,107,177,102.5,no
monster_249,grass,ocean,99,77,67,94,77,51.0,no
monster_250,rock,volcano,45,117,116,47,199,70.9,yes
monster_251,rock,ocean,44,89,35,130,175,150.1,no
monster_252,water,forest,41,38,39,98,232,147.1,no
monster_253,fire,sky,41,42,102,126,110,90.3,no
monster_254,grass,ocean,120,28,100,20,100,36.6,yes
monster_255,ghost,forest,59,125,75,26,88,78.0,yes
monster_256,ghost,cave,31,58,88,27,243,55.7,no
monster_257,grass,ocean,39,51,122,112,128,70.1,no
monster_258,ghost,ocean,63,114,124,64,274,63.8,yes
monster_259,ghost,sky,58,53,126,51,168,49.1,yes
monster_260,water,sky,54,45,139,91,257,185.8,no
monster_261,fire,forest,124,48,51,103,220,43.9,no
monster_262,grass,sky,115,63,113,73,226,98.8,yes
monster_263,fire,ocean,83,27,46,65,311,91.4,no
monster_264,rock,ocean,128,90,122,66,153,120.5,yes
monster_265,fire,ocean,57,66,132,58,275,58.2,yes
monster_266,fire,cave,35,126,67,65,266,107.0,no
monster_267,ghost,ocean,49,104,75,78,146,115.7,no
monster_268,grass,ocean,29,62,25,59,227,151.0,no
monster_269,grass,ocean,124,98,22,83,152,103.0,no
monster_270,fire,cave,44,108,35,97,218,194.8,no
monster_271,ghost,sky,68,41,15,103,141,23.6,no
monster_272,grass,sky,42,37,61,21,165,107.0,no
monster_273,rock,sky,127,35,138,96,87,61.7,no
monster_274,fire,sky,37,24,101,58,208,147.9,no
monster_275,fire,volcano,76,55,85,101,305,209.1,no
monster_276,rock,cave,124,107,104,135,122,24.9,no
monster_277,water,sky,77,104,17,66,35,7.5,no
monster_278,rock,volcano,118,61,95,33,230,167.8,yes
monster_279,water,volcano,118,73,76,101,77,46.9,no
monster_280,water,ocean,104,104,24,59,227,78.8,no
monster_281,grass,sky,101,121,75,61,216,33.9,yes
monster_282,fire,sky,83,50,96,93,304,167.2,no
monster_283,rock,cave,83,92,66,92,194,42.3,no
monster_284,rock,ocean,111,85,129,23,51,36.3,yes
monster_285,fire,forest,66,88,133,75,99,40.1,yes
monster_286,ghost,ocean,124,108,56,65,97,73.3,yes
monster_287,ghost,forest,116,104,133,87,300,66.5,yes
monster_288,rock,cave,61,63,41,95,277,144.2,no
monster_289,grass,cave,65,102,26,22,139,31.3,no
monster_290,grass,sky,98,26,94,27,282,207.3,yes
monster_291,water,forest,121,57,29,79,196,111.7,no
monster_292,rock,sky,30,43,51,120,110,35.9,no
monster_293,rock,sky,27,48,62,46,42,36.6,no
monster_294,ghost,cave,47,119,99,33,293,193.8,no
monster_295,water,sky,67,68,118,66,286,115.0,yes
monster_296,rock,sky,37,28,126,52,242,191.5,yes
monster_297,rock,sky,77,73,91,28,46,20.0,no
monster_298,rock,forest,79,27,135,131,185,158.5,no
monster_299,grass,cave,124,35,104,98,135,50.3,no
monster_300,ghost,cave,102,62,123,115,223,198.1,yes
monster_301,grass,ocean,47,68,84,127,285,56.1,no
monster_302,water,volcano,106,45,25,96,178,124.8,no
monster_303,fire,cave,108,90,37,62,303,111.7,no
monster_304,grass,cave,94,74,63,20,74,34.6,yes
monster_305,water,volcano,94,34,116,32,290,181.9,yes
monster_306,water,ocean,54,110,63,57,281,51.8,no
monster_307,ghost,forest,98,35,11,94,267,84.8,no
monster_308,rock,sky,34,59,66,99,305,69.5,no
monster_309,grass,cave,89,39,100,35,86,60.6,yes
monster_310,ghost,sky,121,123,138,51,73,23.1,yes
monster_311,grass,ocean,126,51,35,126,24,12.6,no
monster_312,water,ocean,52,115,50,55,245,97.1,yes
monster_313,rock,forest,56,125,71,34,152,49.7,no
monster_314,water,volcano,88,44,73,49,104,88.5,yes
monster_315,ghost,volcano,63,22,136,63,34,18.0,yes
monster_316,fire,cave,100,21,61,79,95,60.6,yes
monster_317,fire,ocean,42,40,80,79,307,208.2,no
monster_318,grass,sky,38,64,42,32,36,27.6,no
monster_319,ghost,cave,25,38,17,34,17,5.9,no
monster_320,rock,sky,71,125,61,44,91,19.0,no
monster_321,fire,forest,43,72,65,58,114,57.0,no
monster_322,ghost,volcano,52,113,32,135,75,20.8,no
monster_323,rock,cave,120,21,95,53,77,12.7,yes
monster_324,water,ocean,109,34,52,62,180,151.2,yes
monster_325,water,ocean,112,70,17,105,19,11.8,no
monster_326,water,cave,85,37,79,60,314,144.7,yes
monster_327,water,cave,32,37,42,138,167,42.1,no
monster_328,fire,ocean,102,22,104,78,127,91.6,yes
monster_329,grass,forest,86,49,12,63,38,20.9,yes
monster_330,water,cave,119,103,109,112,74,20.8,no
monster_331,rock,ocean,72,107,80,114,289,256.3,no
monster_332,rock,forest,39,75,104,99,117,101.0,no
monster_333,grass,cave,85,40,59,36,224,189.4,no
monster_334,grass,volcano,70,69,124,55,64,49.3,yes
monster_335,rock,volcano,92,87,75,89,127,69.7,yes
monster_336,rock,forest,61,36,139,64,114,42.8,yes
monster_337,ghost,sky,53,64,48,71,271,173.1,yes
monster_338,grass,ocean,33,110,121,54,136,35.8,no
monster_339,fire,sky,125,65,95,54,258,158.1,yes
monster_340,grass,cave,103,71,130,77,296,59.1,no
monster_341,water,volcano,71,109,32,118,114,18.3,no
monster_342,grass,ocean,45,93,76,63,79,54.2,no
monster_343,rock,volcano,89,37,127,109,273,111.1,no
monster_344,water,sky,65,87,41,137,297,199.9,no
monster_345,grass,cave,89,121,134,36,298,219.0,yes
monster_346,fire,forest,29,43,135,131,55,42.7,no
monster_347,water,ocean,40,118,74,55,204,124.8,no
monster_348,ghost,cave,100,84,104,31,50,39.3,yes
monster_349,grass,cave,26,93,70,118,122,78.6,no
monster_350,grass,forest,94,56,95,20,139,117.5,yes
monster_351,rock,cave,65,25,121,139,289,237.7,no
monster_352,ghost,sky,20,22,106,44,238,43.4,no
monster_353,ghost,cave,104,92,47,93,302,105.9,no
monster_354,fire,sky,96,128,85,49,269,118.8,yes
monster_355,ghost,forest,109,86,114,124,120,40.7,no
monster_356,water,volcano,118,59,85,104,278,78.6,no
monster_357,ghost,cave,100,104,47,138,41,33.0,no
monster_358,fire,volcano,112,123,107,114,76,12.8,no
monster_359,water,cave,32,43,103,108,279,79.9,no
monster_360,water,cave,121,31,92,133,31,22.3,no
monster_361,ghost,sky,120,124,53,97,217,68.9,no
monster_362,water,forest,96,24,83,45,286,98.3,yes
monster_363,rock,cave,108,117,88,46,85,74.4,yes
monster_364,water,sky,101,35,37,98,227,163.9,no
monster_365,fire,forest,116,32,130,64,187,91.0,yes
monster_366,rock,cave,117,50,87,110,229,57.7,no
monster_367,ghost,ocean,77,54,17,94,108,38.0,no
monster_368,ghost,sky,109,56,45,24,50,44.3,yes
monster_369,water,cave,120,23,114,131,295,219.3,no
monster_370,ghost,ocean,52,113,100,136,46,9.3,no
monster_371,rock,sky,25,111,80,56,119,80.9,no
monster_372,grass,cave,38,94,74,54,15,6.5,no
monster_373,rock,cave,23,120,59,67,74,51.1,no
monster_374,grass,cave,67,123,132,117,213,79.1,no
monster_375,ghost,ocean,22,128,55,22,28,6.9,no
monster_376,water,forest,48,61,118,41,81,13.3,yes
monster_377,rock,forest,47,87,19,103,119,44.2,no
monster_378,fire,forest,97,103,79,70,116,92.2,yes
monster_379,ghost,ocean,47,93,43,73,316,258.6,no
monster_380,water,volcano,124,107,64,132,71,47.0,no
monster_381,fire,volcano,40,94,91,115,81,57.6,no
monster_382,rock,sky,126,62,18,33,246,72.8,no
monster_383,fire,cave,82,82,22,48,154,64.0,no
monster_384,fire,forest,46,41,85,51,166,136.9,no
monster_385,fire,ocean,24,124,97,99,311,276.7,no
monster_386,water,forest,53,118,18,71,77,37.1,no
monster_387,grass,ocean,84,86,135,100,17,12.4,no
monster_388,grass,ocean,31,104,66,46,283,240.6,no
monster_389,grass,forest,38,56,137,75,104,93.4,yes
monster_390,ghost,forest,32,61,27,63,112,41.6,no
monster_391,fire,forest,94,76,125,42,265,169.7,yes
monster_392,fire,volcano,29,49,93,44,205,90.7,no
monster_393,water,volcano,22,22,114,68,44,21.9,no
monster_394,fire,forest,70,63,115,101,287,142.5,no
monster_395,grass,cave,54,99,33,109,298,106.9,no
monster_396,rock,sky,82,48,31,112,17,2.8,no
monster_397,grass,sky,123,96,136,42,269,195.0,yes
monster_398,grass,cave,114,85,66,89,68,45.7,yes
monster_399,rock,ocean,79,66,36,30,58,45.3,no
monster_400,rock,sky,90,99,92,35,248,65.7,yes
monster_401,grass,volcano,109,113,122,75,195,63.9,yes
monster_402,rock,forest,68,124,45,103,148,88.4,no
monster_403,ghost,forest,92,103,124,48,184,156.9,yes
monster_404,grass,sky,43,30,18,40,76,38.3,no
monster_405,rock,ocean,87,57,90,116,226,67.9,no
monster_406,rock,forest,46,78,58,91,123,73.3,no
monster_407,grass,ocean,41,28,77,118,108,93.8,no
monster_408,grass,forest,103,66,88,30,185,148.2,yes
monster_409,water,sky,83,34,36,133,132,108.8,no
monster_410,ghost,cave,61,80,16,116,34,15.6,no
monster_411,water,forest,24,40,77,120,88,30.5,no
monster_412,water,volcano,46,49,133,32,313,251.3,yes
monster_413,water,cave,108,53,47,97,104,77.1,no
monster_414,fire,volcano,71,127,82,84,135,106.5,yes
monster_415,water,ocean,125,69,26,42,68,30.2,no
monster_416,rock,forest,119,81,54,129,30,10.9,no
monster_417,water,ocean,113,122,26,118,290,95.8,no
monster_418,fire,forest,21,21,24,119,196,157.4,no
monster_419,fire,forest,25,50,114,107,285,239.3,no
monster_420,grass,volcano,83,66,127,41,268,114.0,yes
monster_421,grass,ocean,57,118,129,109,124,99.9,yes
monster_422,water,cave,112,99,104,75,161,70.2,yes
monster_423,fire,sky,54,94,28,103,226,109.8,no
monster_424,grass,ocean,36,61,130,91,251,144.3,no
monster_425,ghost,sky,32,113,11,119,164,51.8,no
monster_426,grass,sky,53,40,45,82,26,9.1,no
monster_427,grass,cave,88,64,44,55,100,35.0,no
monster_428,rock,cave,33,59,106,99,109,37.6,no
monster_429,fire,ocean,107,20,27,100,121,64.9,no
monster_430,grass,forest,53,30,135,54,194,43.7,no
monster_431,water,cave,54,106,34,82,309,227.2,no
monster_432,grass,sky,92,123,122,99,60,16.9,no
monster_433,water,cave,114,47,85,60,119,57.5,yes
monster_434,fire,cave,67,28,42,40,96,60.6,no
monster_435,fire,cave,107,35,64,59,191,48.4,yes
monster_436,rock,forest,53,26,24,120,263,120.2,no
monster_437,grass,volcano,34,107,65,38,303,173.4,no
monster_438,fire,sky,111,25,100,67,169,95.1,yes
monster_439,fire,forest,104,95,36,78,105,86.0,no
monster_440,rock,sky,102,107,135,115,81,59.8,no
monster_441,fire,volcano,117,43,96,64,261,62.8,yes
monster_442,ghost,volcano,74,45,57,139,28,21.7,yes
monster_443,rock,forest,41,49,47,70,49,27.6,no
monster_444,rock,cave,84,103,110,75,33,21.7,yes
monster_445,grass,forest,83,123,61,122,238,64.3,no
monster_446,fire,forest,62,103,132,74,275,138.6,yes
monster_447,rock,cave,90,49,70,101,261,176.2,no
monster_448,grass,volcano,48,98,101,62,98,73.3,no
monster_449,grass,cave,87,97,127,101,270,203.7,no
monster_450,rock,ocean,107,66,133,91,16,5.0,no
monster_451,grass,volcano,30,34,42,138,312,241.7,no
monster_452,fire,volcano,69,54,66,67,197,113.5,no
monster_453,water,volcano,92,109,103,46,231,150.5,yes
monster_454,rock,forest,25,76,63,36,44,34.7,no
monster_455,grass,volcano,89,32,50,80,313,142.1,yes
monster_456,fire,ocean,120,120,90,80,134,112.5,yes
monster_457,grass,cave,110,76,126,31,99,80.3,yes
monster_458,water,sky,95,58,70,21,274,207.1,yes
monster_459,water,forest,108,23,61,67,174,75.7,yes
monster_460,water,ocean,59,82,109,24,55,30.0,yes
monster_461,ghost,sky,55,80,75,134,80,22.4,no
monster_462,grass,forest,29,36,50,114,125,89.9,no
monster_463,water,volcano,99,113,124,30,40,32.7,yes
monster_464,rock,forest,54,75,89,113,169,45.7,no
monster_465,water,forest,115,29,97,110,148,104.9,no
monster_466,water,ocean,71,41,115,107,212,142.2,no
monster_467,water,volcano,118,50,22,123,234,41.5,no
monster_468,ghost,ocean,35,102,120,104,56,46.9,no
monster_469,rock,forest,37,104,27,81,252,128.4,no
monster_470,rock,ocean,58,110,11,107,265,93.2,no
monster_471,ghost,sky,22,86,138,115,20,3.5,no
monster_472,ghost,ocean,74,120,46,90,246,181.2,no
monster_473,grass,ocean,91,54,13,72,302,121.8,no
monster_474,ghost,volcano,92,84,101,88,134,71.7,yes
monster_475,water,volcano,43,89,49,62,90,26.6,yes
monster_476,water,ocean,38,60,64,68,183,110.8,yes
monster_477,rock,volcano,82,70,134,80,104,46.6,yes
monster_478,ghost,forest,89,97,84,109,79,59.6,no
monster_479,ghost,forest,123,114,11,43,268,174.1,no
monster_480,ghost,sky,118,121,98,71,198,136.9,yes
monster_481,water,ocean,61,52,30,56,287,97.1,no
monster_482,grass,cave,37,98,51,38,233,46.1,no
monster_483,rock,cave,47,103,37,56,239,193.6,no
monster_484,ghost,cave,116,123,128,56,254,216.3,yes
monster_485,rock,ocean,70,89,21,138,116,73.4,no
monster_486,ghost,sky,129,42,80,66,54,45.4,yes
monster_487,water,forest,92,101,71,60,156,106.0,yes
monster_488,rock,cave,85,38,81,67,311,188.0,yes
monster_489,fire,cave,31,61,87,47,269,124.9,no
monster_490,water,volcano,84,73,23,129,235,97.9,yes
monster_491,rock,ocean,61,99,51,132,123,63.6,no
monster_492,water,cave,112,38,83,67,79,25.0,yes
monster_493,water,forest,34,96,24,36,260,122.4,no
monster_494,fire,volcano,41,35,115,22,149,79.1,yes
monster_495,water,ocean,92,62,115,135,253,43.9,no
monster_496,water,sky,94,33,78,119,79,35.2,no
monster_497,grass,volcano,111,22,114,122,157,57.0,no
monster_498,grass,forest,77,55,65,90,258,161.4,no
monster_499,ghost,forest,61,125,83,97,288,218.5,no
monster_500,rock,forest,53,81,70,112,28,17.1,no
monster_501,fire,volcano,60,98,27,71,132,85.5,no
monster_502,grass,cave,92,45,32,119,96,58.6,no
